# LAMMPS data file written by OVITO Pro 3.4.3
4000 atoms
2 atom types
-0.340011 36.244 xlo xhi
-0.403216 36.1431 ylo yhi
-0.226137 36.2015 zlo zhi

Atoms  # atomic

1 1 0.203607 35.9075 -0.0809756
2 1 1.96492 1.78235 35.9755
3 2 35.9854 1.78158 1.85666
4 2 1.80451 0.031181 1.76884
5 1 3.52576 35.6187 35.8584
6 1 5.53244 1.57222 35.7191
7 1 3.72049 1.39319 1.33797
8 1 5.6081 35.963 1.66659
9 1 7.00525 35.5813 35.8564
10 2 9.13435 1.50519 35.8803
11 1 7.3706 1.50998 1.43579
12 2 8.86524 35.6403 1.47975
13 1 10.5938 35.6668 36.0787
14 1 12.3515 1.82841 0.0220485
15 2 10.6925 1.49254 1.69791
16 1 12.6827 0.0721449 1.81033
17 1 14.0986 -0.131173 -0.080052
18 2 16.4045 1.56111 35.3711
19 2 14.1962 1.64664 1.85614
20 1 16.1171 35.9204 1.59479
21 2 35.9734 3.57071 -0.0435012
22 1 1.9195 5.13676 -0.0480902
23 2 -0.00984709 5.5195 1.63771
24 2 1.98517 3.32807 1.83967
25 1 3.75639 3.27138 0.258654
26 1 5.30744 4.95971 0.0275073
27 1 3.76027 5.20028 1.86385
28 2 5.74009 3.26053 1.64299
29 2 7.48927 3.23135 35.9159
30 2 8.92114 5.57045 -0.107434
31 1 7.38825 5.31655 1.66202
32 2 9.21336 3.19509 1.62692
33 1 10.8575 3.56587 35.8923
34 1 12.7756 5.12253 0.0544402
35 2 10.6313 5.41882 1.88571
36 1 12.6236 3.51393 1.81215
37 1 14.3169 3.14308 35.9487
38 1 16.392 5.36385 0.0206126
39 2 14.4997 5.30658 1.79565
40 2 16.1061 3.45845 1.42726
41 2 35.8258 -0.0125099 3.6609
42 2 1.66925 1.66408 3.50639
43 2 35.4243 1.9071 5.23046
44 2 1.54235 36.1431 5.28226
45 1 3.54048 35.9831 3.30489
46 1 5.61787 1.69319 3.17719
47 2 3.61232 1.8009 4.85761
48 2 5.21775 -0.128017 5.43413
49 2 7.38507 -0.0748455 3.35275
50 2 9.01205 1.80292 3.48953
51 1 7.39289 1.6386 5.45003
52 1 9.14722 36.0924 5.24867
53 2 10.9865 -0.163679 3.7937
54 2 12.6635 2.00608 3.62086
55 1 10.8588 1.70927 5.35288
56 2 12.7615 36.0414 5.4678
57 1 14.6639 -0.0142663 3.36669
58 2 15.9103 1.95212 3.28462
59 1 14.2579 1.73275 5.09547
60 1 15.8983 0.159285 5.49951
61 2 0.223771 3.57766 3.27284
62 2 2.04036 5.49806 3.72418
63 1 0.331101 5.82465 5.76261
64 2 1.53755 3.67516 5.14177
65 2 3.70673 3.40655 3.34553
66 1 5.48262 5.08943 3.37897
67 1 3.72339 5.22166 5.06606
68 1 5.57624 3.05157 5.22344
69 2 7.60279 3.44025 3.42149
70 1 9.30566 5.20362 3.95224
71 2 7.17619 5.05418 5.53978
72 2 9.15893 3.42312 5.55125
73 1 10.8539 3.64078 3.47268
74 2 12.5643 5.37801 3.61932
75 1 10.9114 5.03859 5.5466
76 1 12.7516 3.63377 5.27375
